Pokemon,Type,PCA_X,PCA_Y
Bulbasaur,#2DCD45,0.7736482758214273,-0.29151426380579715
Ivysaur,#2DCD45,0.7636719690726499,-0.021293224919392045
Venusaur,#2DCD45,0.7625466469026172,0.23362732803671332
Charmander,#F08030,0.7550281664752909,-0.3079524703488824
Charmeleon,#F08030,0.7624324172316961,-0.04567043430711132
Charizard,#F08030,0.7786497202250819,0.2376995110508456
Squirtle,#149EFF,0.7752610656027847,-0.2577580132310806
Wartortle,#149EFF,0.7788099659482501,-0.04498153664641804
Blastoise,#149EFF,0.7465919786618047,0.24096531539674976
Caterpie,#A8B820,0.7167689179927446,-0.27832618820612975
Metapod,#A8B820,0.686852724783235,-0.23250298096803995
Butterfree,#A8B820,0.7638765777962829,-0.0334966415963064
Weedle,#A8B820,0.6726668715479489,-0.28758111911929796
Kakuna,#A8B820,0.6940260507768377,-0.15287197387607973
Beedrill,#A8B820,0.7576314274882248,0.07986164170174076
Pidgey,#A8A878,0.742913317378374,-0.34192425531082693
Pidgeotto,#A8A878,0.8004042124985868,0.06242135077935966
Pidgeot,#A8A878,0.786027037675772,0.2674357662110792
Rattata,#A8A878,0.7359727214851945,-0.3354191163472183
Raticate,#A8A878,0.7644437399443235,-0.07471652554436764
Spearow,#A8A878,0.786738697298201,-0.2747153712002793
Fearow,#A8A878,0.8090607411509569,0.011941686586504786
Ekans,#883688,0.7067850203551423,-0.30374511217773825
Arbok,#883688,0.7646099835659487,-0.024652832662713318
Pikachu,#F8D030,0.725161940051576,-0.37019619235269846
Raichu,#F8D030,0.7701242441492294,0.006857453101152111
Sandshrew,#E0C068,0.7477296364160383,-0.2491686090985164
Sandslash,#E0C068,0.8098215825613695,0.16714203674509215
NidoranF,#883688,0.7012540375783238,0.3228545687763526
Nidorina,#883688,0.75325414186765,0.13348304171896744
Nidoqueen,#883688,0.7847636085492263,0.3207902699438462
NidoranM,#883688,0.6949089728221525,0.2990646130197855
Nidorino,#883688,0.6820099930510349,-0.04461924217845348
Nidoking,#883688,0.7463037971876678,0.2754789903610266
Clefairy,#EE99AC,0.7594471730991665,0.03388738319475
Clefable,#EE99AC,0.8178951085702226,0.2737456710176436
Vulpix,#F08030,0.7451665269291388,-0.31385591540205404
Ninetales,#F08030,0.7834710350790681,0.12174101200596608
Jigglypuff,#A8A878,0.7823262926770214,0.26776019060163336
Wigglytuff,#A8A878,0.8213668057465199,0.19925802120182418
Zubat,#883688,0.714599355410121,-0.2981806070209636
Golbat,#883688,0.7161793927103614,0.15868629948942248
Oddish,#2DCD45,0.7553236058757226,-0.2461307873837828
Gloom,#2DCD45,0.7418324182440142,-0.0510117033569116
Vileplume,#2DCD45,0.7710782090636901,0.18119110971358954
Paras,#A8B820,0.728763033289909,-0.30249490573035215
Parasect,#A8B820,0.7622155368212105,-0.007040779857305712
Venonat,#A8B820,0.7891200461843378,-0.0654156210013426
Venomoth,#A8B820,0.7580546149960071,0.12970707291439454
Diglett,#E0C068,0.6821757529455227,-0.24884300768477385
Dugtrio,#E0C068,0.7828995718754258,-0.18599737985973472
Meowth,#A8A878,0.7430035695940221,-0.27146043906878453
Persian,#A8A878,0.8163601954541769,0.06258589809366133
Psyduck,#149EFF,0.7516410185868799,-0.19491115897881717
Golduck,#149EFF,0.7410025561930856,0.272183449362961
Mankey,#94352D,0.7007246920481282,-0.2906472025637284
Primeape,#94352D,0.75743177460045,0.05140095013292545
Growlithe,#F08030,0.753543620125233,-0.13263861961722723
Arcanine,#F08030,0.7988190182660029,0.2954217684897358
Poliwag,#149EFF,0.7097947713314869,-0.26914327524644954
Poliwhirl,#149EFF,0.797168407519376,0.02724283692800649
Poliwrath,#149EFF,0.7653458066250155,0.3075817119347828
Abra,#FF6996,0.7398464444375865,-0.34162858671112417
