Term,PCA_X,PCA_Y
<BATTLE>,0.41862546900803127,0.12131456636930041
<TURN>,0.5016064696806054,0.3376612400645367
<HP_REMAINING>,0.4476845742940404,0.21717759135980536
<FAINTED>,0.31961049938812963,-0.19077087121181127
<BATTLE_WON>,-0.04264224537138161,-0.060273962324887666
<BATTLE_LOST>,-1.4259976174067164,0.01695157556301212
<ACTION_USE>,0.5448139753651261,0.21548233878873976
<TARGET_ON>,-1.5032734291756544,0.0012747097651180516
<TARGET_AGAINST>,0.532329582393387,0.10653417029913755
<EFFECT_SUPER>,0.49020106328804586,0.02720220105353277
<EFFECT_NORMAL>,0.6099888191199804,0.1971548111271523
<EFFECT_WEAK>,0.4657018009152138,0.06831264683172719
<EFFECT_NONE>,0.2863398609380908,-0.06925642296739339
<QUERY>,0.4350727703384792,0.11233503914102276
<FACT>,0.4355850880910044,0.1174962990045109
<ANSWER>,0.26850470964107787,0.15006944030938993
<HAS>,0.4407666149239745,0.2182559339105828
<IS>,0.21936419272705363,0.15665862942243755
<TYPE>,0.39099212568916464,0.052683868164442066
<BASE_HP>,0.26927227715953506,-0.07008879850576191
<EVOLVES_INTO>,0.29229545309167976,0.033752641418534755
<POWER>,0.25580724963009566,0.0059157795879657684
Bulbasaur,0.4595860940121451,0.26388381646365117
Ivysaur,0.4463840421696689,0.27517871975337366
Venusaur,0.44373765335426385,0.3071005251805994
Charmander,0.4393180077136292,0.2833076827683693
Charmeleon,0.44023888298587516,0.3160673251613302
Charizard,0.46233923655829545,0.2732095466880152
Squirtle,0.45962936359721046,0.2819514842959671
Wartortle,0.45486030475075623,0.3329707562011963
Blastoise,0.42453006099759943,0.3190572419916738
Caterpie,0.3933438966051919,0.32327627568475364
Metapod,0.3623120819003725,0.3379057047249667
Butterfree,0.4462733979596919,0.2815379065693729
Weedle,0.3491422818316416,0.31284532168869683
Kakuna,0.3695841774318296,0.32587013103408907
Beedrill,0.43474186226918216,0.3238260930599108
Pidgey,0.42380148859699807,0.30024221076489954
Pidgeotto,0.4775544370562997,0.32832814322186016
Pidgeot,0.468360313902571,0.29967731528473973
Rattata,0.42393212734506897,0.24342584623365057
Raticate,0.44583883431099547,0.29544638274422685
Spearow,0.4639085315447566,0.3173813669826098
Fearow,0.4855046758091338,0.32534241154600363
Ekans,0.39093481402020674,0.2794023768651826
Arbok,0.44120473078763245,0.3247215589652855
Pikachu,0.41345695823792233,0.24563821640478364
Raichu,0.45143753159155803,0.28032753996991194
Sandshrew,0.43171854747261534,0.2828375035521808
Sandslash,0.49097591744639146,0.29138871606360967
NidoranF,0.3761127034685268,0.34483812737156944
Nidorina,0.43356709557060163,0.2978800877101697
Nidoqueen,0.4687384002903201,0.28159812470150836
NidoranM,0.37353463278826704,0.3161331509235131
Nidorino,0.3597844488924209,0.3051946806826288
Nidoking,0.4317207315490708,0.2677867643153109
Clefairy,0.44552649172189274,0.26420925068220885
Clefable,0.5042957874621266,0.2686875947682108
Vulpix,0.42417196066709684,0.31018913587179614
Ninetales,0.4608140581591778,0.31994242353116115
Jigglypuff,0.4667001954849801,0.28948833606347846
Wigglytuff,0.5068685738157774,0.28239403284728004
Zubat,0.39372985981207503,0.2959196078079637
Golbat,0.3932014183038932,0.3177762032110124
Oddish,0.43525763890055724,0.297259321668049
Gloom,0.4230921804316536,0.29642454186847883
Vileplume,0.4505458692539491,0.3096570329648927
Paras,0.4130115749568872,0.2740958859296798
Parasect,0.4442982277305482,0.2992380350893235
Venonat,0.46824256009234805,0.30035709123167914
Venomoth,0.4396686704061917,0.2861001888140828
Diglett,0.37527427690480564,0.20353710286987345
Dugtrio,0.4682087225897062,0.25865395696483995
Meowth,0.42464810497831745,0.2854853498097259
Persian,0.49684768251229827,0.2968166496421558
Psyduck,0.43090717979734383,0.3103238224734153
Golduck,0.4197678256892668,0.3130564250001574
Mankey,0.38522216443073143,0.2760805757782618
Primeape,0.43589531285519095,0.3149859825143257
Growlithe,0.4339905774188423,0.29111110359379827
Arcanine,0.4840186289372338,0.2828748581837811
Poliwag,0.39020453178709497,0.29849786226392333
