Pokemon,Type,PCA_X,PCA_Y
Bulbasaur,#2DCD45,0.9096356161260954,0.44180531657472677
Ivysaur,#2DCD45,0.9312897151812921,0.33984231782406404
Venusaur,#2DCD45,0.9381503329162862,0.34395274367906054
Charmander,#F08030,0.9006360685553223,0.33684375349253226
Charmeleon,#F08030,0.9121741075420456,0.35427719509663425
Charizard,#F08030,0.9277017756575897,0.3734535870007911
Squirtle,#149EFF,0.9034891353807326,0.37115639272601064
Wartortle,#149EFF,0.9648739756645573,0.19816114859844172
Blastoise,#149EFF,0.9155404895502263,0.2811264984339178
Caterpie,#A8B820,0.8234761389890132,0.2880249588855117
Metapod,#A8B820,0.5703712852336258,-0.22895320133260375
Butterfree,#A8B820,0.6515438122006497,-0.30393293028055335
Weedle,#A8B820,0.8233009439508138,0.23673670947047054
Kakuna,#A8B820,0.6174195206872491,-0.1543178335091178
Beedrill,#A8B820,0.6015749027062587,-0.21297623520402614
Pidgey,#A8A878,0.8920928852525676,0.23997845680902405
Pidgeotto,#A8A878,0.9587040651434606,0.32842533467634105
Pidgeot,#A8A878,0.9825310425412047,0.34650510045957633
Rattata,#A8A878,0.8838843250055494,0.2975564855635654
Raticate,#A8A878,0.8915956770778116,0.1695570237191488
Spearow,#A8A878,0.885840375462013,0.18188380211619862
Fearow,#A8A878,0.9301746248643589,0.1900759244595779
Ekans,#883688,0.5790662759452682,-0.25753882005083
Arbok,#883688,0.599284375811498,-0.31641904960020034
Pikachu,#F8D030,0.9102853924821231,0.3986426065331017
Raichu,#F8D030,0.9084866505560814,0.38857154717665715
Sandshrew,#E0C068,0.6236720462202595,-0.249067634182751
Sandslash,#E0C068,0.7045062776483254,-0.15881290449455351
NidoranF,#883688,0.8016428078667805,0.3223585932277796
Nidorina,#883688,0.602906056329165,-0.2635926622807592
Nidoqueen,#883688,0.8987132605823769,0.23033397003650055
NidoranM,#883688,0.7684340191493338,0.3070612093471336
Nidorino,#883688,0.5789935716871383,-0.20313619850651354
Nidoking,#883688,0.8492986801318296,0.29392331740042255
Clefairy,#EE99AC,0.6197737836865145,-0.2703029005324834
Clefable,#EE99AC,0.6753645926812679,-0.24042237074704664
Vulpix,#F08030,0.6383987677630603,-0.2386759144170833
Ninetales,#F08030,0.6384712716130749,-0.21394594280562457
Jigglypuff,#A8A878,0.6347309688385832,-0.23982895251321965
Wigglytuff,#A8A878,0.6995874271380567,-0.2450239779359843
Zubat,#883688,0.6017326162741844,-0.298273488885462
Golbat,#883688,0.5624184782127902,-0.28215188244246614
Oddish,#2DCD45,0.6093790658573002,-0.16490288953080207
Gloom,#2DCD45,0.6614112043819501,-0.11971784922270161
Vileplume,#2DCD45,0.912418211948535,0.20573400961136007
Paras,#A8B820,0.6144003556300279,-0.1312585241514605
Parasect,#A8B820,0.6407411114111858,-0.24350643138578779
Venonat,#A8B820,0.6298012048505902,-0.2928596360809457
Venomoth,#A8B820,0.9229846842985507,0.28002486108213587
Diglett,#E0C068,0.5779755493990327,-0.21131314415505395
Dugtrio,#E0C068,0.9429459316060139,0.31973448977419167
Meowth,#A8A878,0.6180906731374669,-0.28719861304861993
Persian,#A8A878,0.6447150413188196,-0.31742926591248305
Psyduck,#149EFF,0.6360918939734614,-0.26787721376054596
Golduck,#149EFF,0.6159872885348475,-0.26138042410913653
Mankey,#94352D,0.8056788702763591,0.340178210380747
Primeape,#94352D,0.6189882434608361,-0.16246585398801625
Growlithe,#F08030,0.955437574557906,0.42978842842480824
Arcanine,#F08030,0.9201493815463145,0.25812424324125194
Poliwag,#149EFF,0.5891421049266911,-0.2447672069968041
Poliwhirl,#149EFF,0.6547087163868751,-0.16350614513355083
Poliwrath,#149EFF,0.6314317287614285,-0.23134103393043653
Abra,#FF6996,0.8789087636353209,0.29668736721576316
Kadabra,#FF6996,0.9592834265560227,0.404121424631252
Alakazam,#FF6996,0.9380387296791413,0.3383591473253605
Machop,#94352D,0.6185232273444378,-0.24833129295015413
Machoke,#94352D,0.6251573565306262,-0.2980004614546429
Machamp,#94352D,0.5891968088983229,-0.14132902337310832
