Term,PCA_X,PCA_Y
<BATTLE>,0.5490963486857967,0.09858237496601127
<TURN>,0.5806184361172375,0.05044297290911034
<HP_REMAINING>,0.5666811427418067,0.060533048344064234
<FAINTED>,0.45984349653161766,-0.21451712396764983
<BATTLE_WON>,0.06267572172826148,-0.13344705859183317
<BATTLE_LOST>,-1.4482060197169178,-0.03718191439879706
<ACTION_USE>,0.6343802194478185,-0.05950418443876044
<TARGET_ON>,-1.5125781063464032,-0.058328796197748355
<TARGET_AGAINST>,0.6467833220769525,-0.023276180673932303
<EFFECT_SUPER>,0.6141899426113953,0.014785503462768402
<EFFECT_NORMAL>,0.7015130798263223,0.016954790337224898
<EFFECT_WEAK>,0.5860331903511253,-0.041540024581519494
<EFFECT_NONE>,0.4109557951354707,-0.09678591419612187
<QUERY>,0.4393848980136101,0.06439287157518012
<FACT>,0.4405622787058477,0.0448438067823965
<ANSWER>,-0.2122363965775354,0.24494963144248091
<HAS>,0.5901548461097691,0.0024629656378584333
<IS>,-0.1489785822336987,0.2551009755727352
<TYPE>,0.08909343229384023,0.17104202606534974
<BASE_HP>,0.04127574085279465,0.1168001631093524
<EVOLVES_INTO>,-0.016321082608171694,0.17312311730571558
<POWER>,-0.05794643899925887,0.13860468987138666
Bulbasaur,0.5486976087097598,0.12084124122385555
Ivysaur,0.5588768013938875,0.18738009721563129
Venusaur,0.5694170665462965,0.14844927410534614
Charmander,0.5362395409070839,0.15173931477848213
Charmeleon,0.5352137141387158,0.18602253328757068
Charizard,0.5627268307125726,0.10157180257243177
Squirtle,0.5428690961775624,0.14093754933525213
Wartortle,0.5787131054021843,0.2796585610709185
Blastoise,0.5403076822523328,0.180975946493262
Caterpie,0.45550532312809605,0.18490382271241215
Metapod,0.19787116048337247,0.27794488662106354
Butterfree,0.2702413338554151,0.35142155046038914
Weedle,0.45573718782268496,0.17781993796686268
Kakuna,0.25409755099352727,0.2256658376148464
Beedrill,0.22959847368189606,0.2801339184814908
Pidgey,0.5243992044845197,0.18887540549167384
Pidgeotto,0.5828282748034485,0.20767928249270148
Pidgeot,0.6170578356302064,0.1327289065522488
Rattata,0.528122648698798,0.11493190535895867
Raticate,0.5286901513992974,0.168702838009196
Spearow,0.5167152572825272,0.21199175421766875
Fearow,0.5518584686317636,0.2616901568763176
Ekans,0.20252020330434722,0.3142474826954198
Arbok,0.21636446924317193,0.3598913313440547
Pikachu,0.5517349339005948,0.09745559769265974
Raichu,0.5412254131134139,0.12172006219099755
Sandshrew,0.2520111771831173,0.29508427042302593
Sandslash,0.33600500575618636,0.24524014565980934
NidoranF,0.4365707487847759,0.11642036237062917
Nidorina,0.22453004580492797,0.2967916249935091
Nidoqueen,0.5364757728147278,0.11944821781869906
NidoranM,0.40853404148724226,0.09876575895251766
Nidorino,0.20728118466409012,0.26681057593441254
Nidoking,0.4936245605395125,0.07150396139161173
