Pokemon,Type,PCA_X,PCA_Y
Bulbasaur,#2DCD45,0.8582246109686364,-0.4922908995674824
Ivysaur,#2DCD45,0.7242133898219141,0.1056249659188619
Venusaur,#2DCD45,0.739468939718909,0.27376032111661536
Charmander,#F08030,0.8537330353065123,-0.4639385927759172
Charmeleon,#F08030,0.8306848872435121,-0.2770816255140234
Charizard,#F08030,0.8739277337545589,-0.11542282837608263
Squirtle,#149EFF,0.8713816415158042,-0.4640893627309289
Wartortle,#149EFF,0.7516841487953734,0.09511312255561001
Blastoise,#149EFF,0.684189178245667,0.30867359526493376
Caterpie,#A8B820,0.8010691647760325,-0.47358170013171735
Metapod,#A8B820,0.7891388543057161,-0.4007658927710819
Butterfree,#A8B820,0.861415903216912,-0.2702198294773449
Weedle,#A8B820,0.7515792645816846,-0.406511736188941
Kakuna,#A8B820,0.6590382522190591,-0.059720647181302294
Beedrill,#A8B820,0.8125372215305879,-0.09358932116009414
Pidgey,#A8A878,0.8045611254267654,-0.40104085043374704
Pidgeotto,#A8A878,0.9045599729857339,-0.245072785982487
Pidgeot,#A8A878,0.8250477420972522,0.11581922627968687
Rattata,#A8A878,0.8236106668232178,-0.39935422000938753
Raticate,#A8A878,0.7180561632766549,0.0888399367753702
Spearow,#A8A878,0.8661779361525637,-0.40121144338461145
Fearow,#A8A878,0.7522950480729881,-0.012864095163665185
Ekans,#883688,0.7753567979458548,-0.4447556349488963
Arbok,#883688,0.8439655683320603,-0.26319493893850554
Pikachu,#F8D030,0.8450436179712574,-0.5820659055057119
Raichu,#F8D030,0.8307297038815581,-0.2327401215052195
Sandshrew,#E0C068,0.7176901581474409,-0.10041903475288062
Sandslash,#E0C068,0.7786292278827054,0.13656247348469278
NidoranF,#883688,0.6232375970643137,0.25095967419469695
Nidorina,#883688,0.6794394906659394,0.16129967957829916
Nidoqueen,#883688,0.7561038968279061,0.3644289191311207
NidoranM,#883688,0.6498056356838207,0.2222131566147632
Nidorino,#883688,0.7055194123559356,-0.12190231207025827
Nidoking,#883688,0.726386542482256,0.22451346425739904
Clefairy,#EE99AC,0.7348435722535622,0.047969537104319566
Clefable,#EE99AC,0.7525587273031218,0.27224032098710077
Vulpix,#F08030,0.6861427255512854,-0.04757749714201511
Ninetales,#F08030,0.7081682527963304,0.26052443827597277
Jigglypuff,#A8A878,0.7449578659152241,0.2894605292520251
Wigglytuff,#A8A878,0.781372366492943,0.27170314852297506
Zubat,#883688,0.7986264251704428,-0.41165361931707756
Golbat,#883688,0.7842667604017257,-0.07301379426261263
Oddish,#2DCD45,0.7118667036454546,-0.09559404753893465
Gloom,#2DCD45,0.6904070032789711,0.05207789553986639
Vileplume,#2DCD45,0.7152191966680844,0.192983138242054
Paras,#A8B820,0.6676212072273568,-0.13889186912675952
Parasect,#A8B820,0.7227170330288656,0.013586019375366744
Venonat,#A8B820,0.8571712708568537,-0.18562637613867478
Venomoth,#A8B820,0.7125062985359844,0.1250000486630219
Diglett,#E0C068,0.6655296125654512,-0.12529704902695032
Dugtrio,#E0C068,0.7576741078411735,-0.13336709269967273
Meowth,#A8A878,0.8256731914672235,-0.4144776401433301
Persian,#A8A878,0.7827686255656118,0.07277851791635746
Psyduck,#149EFF,0.7132132154414277,-0.002606379163850489
Golduck,#149EFF,0.7038018104861327,0.23392992389073006
Mankey,#94352D,0.7525500086175269,-0.4421780296365249
Primeape,#94352D,0.7972585753351106,-0.08341421442075984
Growlithe,#F08030,0.6780040874576592,-0.0032406475176442913
Arcanine,#F08030,0.8680244069462976,0.06608391869062998
Poliwag,#149EFF,0.6916350389933952,-0.11077211728821745
Poliwhirl,#149EFF,0.7370102767059622,0.007714585350046667
Poliwrath,#149EFF,0.8080318496154586,0.1462217176368452
Abra,#FF6996,0.7105933074148016,-0.2011265021997748
Kadabra,#FF6996,0.819997856434074,-0.24538093455656435
Alakazam,#FF6996,0.6865690135898518,0.022656966095974305
Machop,#94352D,0.7135216545869442,0.11922844766532131
Machoke,#94352D,0.701591323161748,0.34498645099704484
Machamp,#94352D,0.7059594371946473,0.2825057159365796
Bellsprout,#2DCD45,0.802217594560484,-0.2217719571601333
Weepinbell,#2DCD45,0.8188286245315821,-0.0405670693624419
Victreebel,#2DCD45,0.7032536240001597,0.21800785676565376
Tentacool,#149EFF,0.6764037744993836,-0.01134412967342296
Tentacruel,#149EFF,0.7478567747942083,0.35268045338165843
Geodude,#B8A038,0.8022893451172517,-0.2265514498870372
Graveler,#B8A038,0.7607377381595757,0.23561546741076944
Golem,#B8A038,0.7430957584803858,0.3068688109472736
Ponyta,#F08030,0.725887030732128,-0.04831650873514126
Rapidash,#F08030,0.7395675140920216,0.13825804489020743
Slowpoke,#149EFF,0.7177486527899014,0.33960382316998083
Slowbro,#149EFF,0.7299876868029403,0.2540261431346483
Magnemite,#F8D030,0.693610787074205,-0.049340837982920174
Magneton,#F8D030,0.7269480758633802,0.07133755959518899
Farfetch'd,#A8A878,0.6633490516633391,-0.0436147880360206
Doduo,#A8A878,0.726073898890972,-0.14059833472863997
Dodrio,#A8A878,0.7326962405175997,0.08256773463192094
Seel,#149EFF,0.7666845640784324,0.1515763294482924
Dewgong,#149EFF,0.7263359802765158,0.3388020068011639
Grimer,#883688,0.7114382924335384,0.15562146152463094
Muk,#883688,0.8591671158700986,-0.007980855935447775
Shellder,#149EFF,0.6485159413587899,-0.12141426426074697
Cloyster,#149EFF,0.7294648019946439,-0.014691873604601122
Gastly,#614C83,0.6876716662745035,-0.0907854059566613
Haunter,#614C83,0.7967295219598011,-0.2253911792770102
Gengar,#614C83,0.6956454817297351,0.08066933216706261
Onix,#B8A038,0.8301407667616268,-0.21266853785809428
Drowzee,#FF6996,0.6985639780963722,-0.002075558148998296
Hypno,#FF6996,0.7564617201146376,0.19758482647819683
Krabby,#149EFF,0.8397113245222648,-0.44925914248309506
Kingler,#149EFF,0.8510569902664424,-0.3326423973840896
Voltorb,#F8D030,0.7109948832597986,-0.08339734456797829
Electrode,#F8D030,0.692907890656309,0.04325885120699857
Exeggcute,#2DCD45,0.6940493656374082,0.022137374688936822
Exeggutor,#2DCD45,0.8311174359568279,0.1548145277330852
Cubone,#E0C068,0.7893975851143331,-0.18321418167211767
Marowak,#E0C068,0.7746383600629441,0.07674810865249347
Hitmonlee,#94352D,0.6963364904149563,-0.10201956032868364
Hitmonchan,#94352D,0.6957032466781307,-0.007978855063090163
Lickitung,#A8A878,0.7293678243404645,0.3173797244307725
Koffing,#883688,0.7701775546177925,-0.40012492271216854
Weezing,#883688,0.8038966164909593,-0.25878602628145875
Rhyhorn,#E0C068,0.7088190284133759,0.31219958020313593
Rhydon,#E0C068,0.7245599454622592,0.2678020415123418
Chansey,#A8A878,0.7587816912866205,0.264301657618505
Tangela,#2DCD45,0.7217556194577814,0.07761085401139489
Kangaskhan,#A8A878,0.7206051517482135,0.33132507027762054
Horsea,#149EFF,0.6662484645929915,-0.1119795120922751
Seadra,#149EFF,0.8143686416243588,-0.15637375624064803
Goldeen,#149EFF,0.7231479441696527,0.02270144641170967
Seaking,#149EFF,0.7186200199486968,0.2666132225243727
