Term,PCA_X,PCA_Y
<BATTLE>,0.4965265440920797,-0.15702697029905474
<TURN>,0.5801106520053197,-0.45357299578062404
<HP_REMAINING>,0.5200433868948415,-0.26355217030994654
<FAINTED>,0.41643841441224133,0.14027731693896975
<BATTLE_WON>,0.024558148535717635,0.004908548377119315
<BATTLE_LOST>,-1.4152963967131098,-0.019631651543688684
<ACTION_USE>,0.6133301207718448,-0.2589504023703159
<TARGET_ON>,-1.4857649094064111,-0.005640190849679461
<TARGET_AGAINST>,0.6232270481678109,-0.1517852445390333
<EFFECT_SUPER>,0.593273258551197,-0.047004610673716925
<EFFECT_NORMAL>,0.692409212982386,-0.21258304714874512
<EFFECT_WEAK>,0.5535395201707309,-0.10915092807068304
<EFFECT_NONE>,0.37894816845652873,0.023952569114233917
<QUERY>,0.5289915852044322,-0.18998838724534353
<FACT>,0.5289170726639305,-0.18334606567644904
<ANSWER>,0.3598030508271687,-0.23091245306712976
<HAS>,0.5264030809956172,-0.2819710437946706
<IS>,0.32604164953085846,-0.18721458172389435
<TYPE>,0.48262027166567173,-0.06182219363619137
<BASE_HP>,0.31911684517954525,0.07530235043840434
<EVOLVES_INTO>,0.4214803726013742,-0.11557404212888396
<POWER>,0.2571822481967867,0.03532290064590393
Bulbasaur,0.5493593098802283,-0.34884037589432626
Ivysaur,0.41694651066733995,-0.1228947375899392
Venusaur,0.42926014302883625,-0.15545716648761665
Charmander,0.5430401218659662,-0.3518155709697837
Charmeleon,0.5153385838147719,-0.3696581462908278
Charizard,0.5571146794176405,-0.35465344711912355
Squirtle,0.5609306450523364,-0.3723117130524674
Wartortle,0.43935486091742,-0.1845248972514693
Blastoise,0.37136097519106026,-0.14126128378642241
Caterpie,0.48633003433509403,-0.39060728056275357
Metapod,0.4707896477121778,-0.4127644674788175
Butterfree,0.5426664949900024,-0.39910654109276955
Weedle,0.4324382426515709,-0.3565975304027101
Kakuna,0.35202445913557606,-0.15389867388155523
Beedrill,0.48935850012565124,-0.3618776968832652
Pidgey,0.4917131594433359,-0.3166009514271045
Pidgeotto,0.585147969452575,-0.4265583932120563
Pidgeot,0.5163175561528849,-0.21984953206852872
Rattata,0.5092597191104881,-0.3216041395144202
Raticate,0.4126303625260336,-0.11510579995950414
Spearow,0.5458011572824143,-0.3930701865873773
Fearow,0.447622418199793,-0.16959081963151235
Ekans,0.4686844462662794,-0.278304426432279
Arbok,0.5249977338462873,-0.366281884387673
Pikachu,0.5365530791955704,-0.37719860483742945
Raichu,0.515658495134634,-0.34574355404700746
Sandshrew,0.4153695308200758,-0.14740496461311
Sandslash,0.46587493483767906,-0.2199806823252991
NidoranF,0.3176178028214785,-0.11326026152494581
Nidorina,0.37795532629321993,-0.08230080678466072
Nidoqueen,0.44953183989229406,-0.0730527674768445
NidoranM,0.3409772367679277,-0.15460753781657183
Nidorino,0.39001077670472917,-0.2894247484032282
Nidoking,0.4197557917742078,-0.13910264024766966
Clefairy,0.43154249944582107,-0.14619131729973098
Clefable,0.4471374070783852,-0.09313192104680977
Vulpix,0.3835834286575536,-0.08462747374950197
Ninetales,0.4027023084063631,-0.07388626412372397
Jigglypuff,0.44231082283644785,-0.03994559914845955
Wigglytuff,0.473425633610317,-0.09955013573779886
Zubat,0.4790418198870211,-0.3562276319198067
Golbat,0.4602233139674727,-0.3788737648958836
Oddish,0.4046906358267902,-0.17910832055677608
Gloom,0.38075841542857664,-0.1844305105078415
Vileplume,0.41092539066436734,-0.0998029553112755
Paras,0.36927192171725903,-0.08545455483789183
Parasect,0.4195021212571294,-0.14890739205359174
Venonat,0.5409762369243208,-0.29470885563619953
Venomoth,0.4044707163458479,-0.1654572305159277
Diglett,0.36965096457639746,-0.02114052737247147
Dugtrio,0.4606267355362627,-0.08282751978174073
Meowth,0.5084406358004753,-0.3549835748078512
Persian,0.47494688684000697,-0.1657011656938582
Psyduck,0.41051576995734373,-0.10393167702456518
Golduck,0.3949653031054245,-0.14730690405361893
Mankey,0.44751564240283004,-0.28602147168072944
Primeape,0.4841029275094784,-0.2955205850125334
Growlithe,0.37307711088105333,-0.13511187136981637
Arcanine,0.5534040051792624,-0.272632738393329
Poliwag,0.38693729264358995,-0.11795700615309758
Poliwhirl,0.4268300631405492,-0.19947955299624234
Poliwrath,0.48950150355366595,-0.284075055754448
Abra,0.41686784105224567,-0.04380097561819508
Kadabra,0.5100983992214838,-0.23227236252508238
Alakazam,0.38695916118624774,-0.05698719466621164
Machop,0.40439243959010773,-0.14169229358095556
Machoke,0.39182433960997953,-0.08778977026046986
Machamp,0.3975783338617135,-0.11624331795605962
Bellsprout,0.4939052970139263,-0.24773520697466198
Weepinbell,0.4939360749741051,-0.36391103188659096
Victreebel,0.39960865477394997,-0.11713519183398148
Tentacool,0.3699795517777066,-0.11068939653521043
Tentacruel,0.43744348552479706,-0.09038043472476148
Geodude,0.4976151853442722,-0.19851140679665544
Graveler,0.4555798548049776,-0.06357986302711854
Golem,0.44212761739874035,-0.027978303698495268
Ponyta,0.4192158853939104,-0.15722142553702906
Rapidash,0.43204162936154655,-0.14007850979764389
Slowpoke,0.4118532343634539,-0.06069677793109529
Slowbro,0.42521637468402257,-0.0991808537739419
Magnemite,0.3942418850041485,-0.04292436003682627
Magneton,0.4185363715074988,-0.13834503966917938
Farfetch'd,0.3484850110647535,-0.2671400703111172
Doduo,0.42516117071079634,-0.11179602604172094
Dodrio,0.42326209351568966,-0.17269326872574325
Seel,0.452521723787666,-0.20552078517731615
Dewgong,0.4184533061788363,-0.07430517462737718
Grimer,0.40585320408495495,-0.13172737455226974
Muk,0.5417563113580299,-0.3326504587619721
Shellder,0.3409403956963179,-0.12898953421221573
Cloyster,0.4190939446956065,-0.17130192777921854
Gastly,0.39339975917437603,-0.04694006596222833
Haunter,0.48749943273622237,-0.28316009611170534
Gengar,0.3921951617154543,-0.1499641213028834
Onix,0.5212794622367466,-0.25487304877246497
Drowzee,0.39060324890775583,-0.18652725520086394
Hypno,0.4455687976592665,-0.1723779475224604
Krabby,0.5294394123760581,-0.30619380422197484
Kingler,0.5322603505329067,-0.39394439745746757
Voltorb,0.40519177474455775,-0.14404346868033632
Electrode,0.38876483525571676,-0.11834433815728304
Exeggcute,0.3863960430395967,-0.17368257464191503
Exeggutor,0.5208109344517331,-0.1844758867060291
Cubone,0.47637020660957985,-0.2555489665082882
Marowak,0.4673160612347989,-0.14339995519624185
Hitmonlee,0.3900831449336757,-0.16642857901956684
Hitmonchan,0.38999515505859367,-0.11450143796339887
Lickitung,0.4209307949389996,-0.10233940533211884
Koffing,0.45690222282512083,-0.3242615677356904
Weezing,0.48650199507301484,-0.3754353827912013
Rhyhorn,0.4034158666946795,-0.0817972721902889
Rhydon,0.4267491909234845,-0.013561956244010109
Chansey,0.45290818453801107,-0.09777005450195891
Tangela,0.41291213595783005,-0.19553074047177146
Kangaskhan,0.4121274523833246,-0.09535966344183534
Horsea,0.3635469957930104,-0.10107778549708948
Seadra,0.48997550226071396,-0.36908144486867256
Goldeen,0.4185763143494782,-0.07669356286749254
Seaking,0.41605315272752463,-0.06979312730675773
Staryu,0.47114928245788407,-0.22600198458962764
Starmie,0.6158438134290737,-0.28914226412281563
Scyther,0.44987427526056545,-0.36312433076635375
Jynx,0.43061031274565026,-0.14069497591693472
Electabuzz,0.4384595440033928,-0.12600224321532924
Magmar,0.47936238398800923,-0.22695990509721622
Pinsir,0.5747839750740011,-0.3170780941535526
Tauros,0.4300150967015171,-0.07329967912109792
Magikarp,0.31663242524121044,-0.04830508391365286
Gyarados,0.44435465070516256,-0.09484379872870734
Lapras,0.45050552281674655,-0.11942078844482541
